英文檔案名	中文檔案名	適用年分開始	適用年份結束	英文欄位	中文欄位	資料型態	長度	起始位置	迄末位置	資料描述
CD	門診處方及治療明細檔	85	92	ID	身份證統一編號	C	32	92	123	已轉碼，國民身分證統一編號，或外籍居留證號碼，左靠不足補空白，(如無居留證號碼則為護照號碼)。
CD	門診處方及治療明細檔	85	92	CARD_SEQ_NO	健保卡就醫序號	C	2	124	125	健保卡或兒童健康手冊就醫紀錄欄之序號(如：A1、A2)，同一序號如有重複申報，僅支付實際於就醫紀錄欄加蓋戳章之醫療院所，慢性病連續處方調劑請填慢性病連續處方箋上調劑記錄欄之序號，(左靠不足補空白);預防保健請填預防保健之服務時程代碼;請參考代碼說明B-35之「健保卡就醫序號」
CD	門診處方及治療明細檔	85	92		請忽略	C	1	126	126	
CD	門診處方及治療明細檔	85	92	GAVE_KIND	給付類別	C	1	127	127	請參考說明B-64之「給付類別
CD	門診處方及治療明細檔	85	92	PART_NO	部分負擔代號	C	3	128	130	部分負擔代號依部分負擔代號之編碼原則填寫。請參考代碼說明B-40之「部分負擔代號及相關規定」。本欄為必要欄位，如為慢性病連續處方調劑及預防保健，本欄請填009
CD	門診處方及治療明細檔	85	92	ACODE_ICD9_1	國際疾病分類號一	C	5	131	135	左靠不足補空白，西醫、中醫國際疾病分類號碼按傷病名稱，參照世界衛生組織一九七五年第九次修訂之國際疾病分類表(Acode)填寫，亦可填ICD-9-CM，最多填三個;牙醫則填ICD-9-CM，預防保健則本欄為非必要欄位西醫自八十九年元月起全面以ICD-9-CM申報;中醫自九十一年五月起全面以ICD-9-CM申報。ICD-9-CM以1992年版為準。95.01起ICD-9-CM以2001年版為準。
CD	門診處方及治療明細檔	85	92	ACODE_ICD9_2	國際疾病分類號二	C	5	136	140	左靠，不足補空白
CD	門診處方及治療明細檔	85	92	ACODE_ICD9_3	國際疾病分類號三	C	5	141	145	左靠，不足補空白
CD	門診處方及治療明細檔	85	92	ICD_OP_CODE	主手術代碼	C	4	146	149	ICD-9-CM之主手術代號;預防保健、慢性病連續處方調劑及中醫本欄免填
CD	門診處方及治療明細檔	85	92	DRUG_DAY	給藥日份	N	2	150	151	右靠不足補0，本次給藥日份最高之天數(註一)：除單次給藥為「非口服藥」外，餘請填「口服藥」之最高給藥日份(89.06);慢性病連續處方調劑，請依連續處方箋上所列填寫;預防保健則本欄為非必要欄位
CD	門診處方及治療明細檔	85	92	MED_TYPE	處方調劑方式	C	1	152	152	請參考代碼說明B-65之「處方調劑方式」
CD	門診處方及治療明細檔	85	92	PRSN_ID	醫師代號	C	32	153	184	已轉碼。醫師或原處方醫師之國民身分證統一編號或外籍居留證號。左靠不足補空白。
CD	門診處方及治療明細檔	85	92	PHAR_ID	藥師代號	C	32	185	216	已轉碼。調劑藥師之國民身分證統一編號，外籍居留證號，左靠不足補空白。診所聘有藥師本欄為必要欄位，否則留空白。
CD	門診處方及治療明細檔	85	92	DRUG_AMT	用藥明細點數小計	N	8	217	224	右靠不足補0，此項費用為OO檔之醫令類別為1之用藥明細點數(序號13)之小計，如為交付調劑之藥品費用，不得併入用藥明細點數小計內計算;西醫簡表及中醫請依給藥日份計算用藥申報點數
CD	門診處方及治療明細檔	85	92	TREAT_AMT	診療明細點數小計	N	8	225	232	右靠不足補0，此項費用為OO檔之除用藥之外(醫令類別為2或3)，各項診療及特殊材料明細點數(序號13)之小計;慢性病連續處方調劑本欄免填
CD	門診處方及治療明細檔	85	92	TREAT_CODE	診察費項目代號	C	12	233	244	填寫全民健保醫療費用支付標準碼。預防保健、洗腎、慢性病連續處方調劑本欄免填，補空白
CD	門診處方及治療明細檔	85	92	DIAG_AMT	診察費	N	8	245	252	診察費點數，右靠不足補0。預防保健、洗腎、慢性病連續處方調劑本欄免填，請補0
CD	門診處方及治療明細檔	85	92	DSVC_NO	藥事服務費項目代號	C	12	253	264	填寫全民健保醫療費用支付標準碼，洗腎本欄免填，補空白
CD	門診處方及治療明細檔	85	92	DSVC_AMT	藥事服務費	N	8	265	272	藥事服務費點數，右靠不足補0，洗腎本欄補0
CD	門診處方及治療明細檔	85	92	BY_PASS_CODE	DRG參考碼	C	2	273	274	請參考健保署網站(http：//www.nhi.gov.tw/)
CD	門診處方及治療明細檔	85	92	T_AMT	合計點數	N	8	275	282	右靠不足補0，此項費用含部分負擔費用，如為交付調劑之藥品費用，不得併入合計點數內計算，本欄為序號27、28、30、32之合計
CD	門診處方及治療明細檔	85	92	PART_AMT	部分負擔點數	N	8	283	290	右靠不足補0，部分負擔費用。預防保健、慢性病連續處方調劑本欄免填。補0
CD	門診處方及治療明細檔	85	92	T_APPL_AMT	申請點數	N	8	291	298	右靠不足補0，此項費用不含部分負擔費用，即合計點數扣除部分負擔點數
CD	門診處方及治療明細檔	85	92	ID_SEX	性別	C	1	299	299	M：男性F：女性U：不詳(詳註)
CD	門診處方及治療明細檔	93	100	FEE_YM	費用年月	C	6	1	6	YYYYMM
CD	門診處方及治療明細檔	93	100	APPL_TYPE	申報類別	C	1	7	7	1：送核2：補報
CD	門診處方及治療明細檔	93	100	HOSP_ID	醫事機構代號	C	34	8	41	已轉碼。後2碼為權屬別，請參考代碼說明B-4之「權屬及型態別其代號與名稱」。代檢及轉檢由原診治之特約醫院、診所申報。
CD	門診處方及治療明細檔	93	100	APPL_DATE	申報日期	C	8	42	49	YYYYMMDD(西元年)
CD	門診處方及治療明細檔	93	100	CASE_TYPE	案件分類	C	2	50	51	請參考代碼說明B-26之「案件分類代號」
CD	門診處方及治療明細檔	93	100	SEQ_NO	流水號	N	6	52	57	右靠不足補0，依案件分類之類別分別連續編號
CD	門診處方及治療明細檔	93	100	CURE_ITEM_NO1	特定治療項目代號(一)	C	2	58	59	請參考代碼說明B-55之「特定治療項目代號」;如無特定治療項目代號所列舉之內容則留空白。慢性病連續處方調劑本欄免填。
CD	門診處方及治療明細檔	93	100	CURE_ITEM_NO2	特定治療項目代號(二)	C	2	60	61	同上
CD	門診處方及治療明細檔	93	100	CURE_ITEM_NO3	特定治療項目代號(三)	C	2	62	63	同上
CD	門診處方及治療明細檔	93	100	CURE_ITEM_NO4	特定治療項目代號(四)	C	2	64	65	同上
CD	門診處方及治療明細檔	93	100	FUNC_TYPE	就醫科別	C	2	66	67	請參考代碼說明B-49之「就醫科別及細分科」
CD	門診處方及治療明細檔	93	100	FUNC_DATE	就醫日期	C	8	68	75	YYYYMMDD請參考代碼說明B-63之「就醫日期及治療結束日期補充說明」
CD	門診處方及治療明細檔	93	100	TREAT_END_DATE	治療結束日期	C	8	76	83	YYYYMMDD請參考代碼說明B-63之「就醫日期及治療結束日期補充說明」，同一療程、排程檢查或慢性病連續處方籤調劑案件，本欄必填。
CD	門診處方及治療明細檔	93	100	ID_BIRTHDAY	出生年月	C	8	84	91	YYYYMM，左靠不足補空白
CD	門診處方及治療明細檔	93	100	ID	身份證統一編號	C	32	92	123	已轉碼，國民身分證統一編號，或外籍居留證號碼，左靠不足補空白，(如無居留證號碼則為護照號碼)。
CD	門診處方及治療明細檔	93	100	CARD_SEQ_NO	健保卡就醫序號	C	4	124	127	請填寫健保IC卡規定之就醫序號，四碼流水號，如：0001。預防保健請填寫「IC+預防保健之服務時程代碼」，請參考請參考說明B-35之「健保卡就醫序號」慢性病連續處方第二次以後調劑者，請依慢性病連續處方籤上調劑記錄欄之序號填IC02或IC03或IC04。
CD	門診處方及治療明細檔	93	100	GAVE_KIND	給付類別	C	1	128	130	請參考代碼說明B-60之「給付類別」
CD	門診處方及治療明細檔	93	100	PART_NO	部分負擔代號	C	3	129	131	部分負擔代號依部分負擔代號之編碼原則填寫。請參考代碼說明B-40之「部分負擔代號及相關規定」。本欄為必要欄位，如為慢性病連續處方調劑及預防保健，本欄請填009
CD	門診處方及治療明細檔	93	100	ACODE_ICD9_1	國際疾病分類號一	C	5	132	136	左靠不足補空白，西醫、中醫國際疾病分類號碼按傷病名稱，參照世界衛生組織一九七五年第九次修訂之國際疾病分類表(Acode)填寫，亦可填ICD-9-CM，最多填三個;牙醫則填ICD-9-CM，預防保健則本欄為非必要欄位西醫自八十九年元月起全面以ICD-9-CM申報;中醫自九十一年五月起全面以ICD-9-CM申報。ICD-9-CM以1992年版為準。95.01起ICD-9-CM以2001年版為準。
CD	門診處方及治療明細檔	93	100	ACODE_ICD9_2	國際疾病分類號二	C	5	137	131	左靠，不足補空白
CD	門診處方及治療明細檔	93	100	ACODE_ICD9_3	國際疾病分類號三	C	5	142	146	左靠，不足補空白
CD	門診處方及治療明細檔	93	100	ICD_OP_CODE	主手術代碼	C	4	147	150	ICD-9-CM之主手術代號;預防保健、慢性病連續處方調劑及中醫本欄免填
CD	門診處方及治療明細檔	93	100	DRUG_DAY	給藥日份	N	2	151	152	右靠不足補0，本次給藥日份最高之天數(註一)：除單次給藥為「非口服藥」外，餘請填「口服藥」之最高給藥日份(89.06);慢性病連續處方調劑，請依連續處方箋上所列填寫;預防保健則本欄為非必要欄位
CD	門診處方及治療明細檔	93	100	MED_TYPE	處方調劑方式	C	1	153	153	請參考代碼說明B-65之「處方調劑方式」
CD	門診處方及治療明細檔	93	100	PRSN_ID	醫師代號	C	32	154	185	已轉碼。醫師或原處方醫師之國民身分證統一編號或外籍居留證號。左靠不足補空白。
CD	門診處方及治療明細檔	93	100	PHAR_ID	藥師代號	C	32	186	217	已轉碼。調劑藥師之國民身分證統一編號，外籍居留證號，左靠不足補空白。診所聘有藥師本欄為必要欄位，否則留空白。
CD	門診處方及治療明細檔	93	100	DRUG_AMT	用藥明細點數小計	N	8	218	225	右靠不足補0，此項費用為OO檔之醫令類別為1之用藥明細點數(序號13)之小計，如為交付調劑之藥品費用，不得併入用藥明細點數小計內計算;西醫簡表及中醫請依給藥日份計算用藥申報點數
CD	門診處方及治療明細檔	93	100	TREAT_AMT	診療明細點數小計	N	8	226	233	右靠不足補0，此項費用為OO檔之除用藥之外(醫令類別為2或3)，各項診療及特殊材料明細點數(序號13)之小計;慢性病連續處方調劑本欄免填
CD	門診處方及治療明細檔	93	100	TREAT_CODE	診察費項目代號	C	12	234	245	填寫全民健保醫療費用支付標準碼。預防保健、洗腎、慢性病連續處方調劑本欄免填，補空白
CD	門診處方及治療明細檔	93	100	DIAG_AMT	診察費	N	8	246	253	診察費點數，右靠不足補0。預防保健、洗腎、慢性病連續處方調劑本欄免填，請補0
CD	門診處方及治療明細檔	93	100	DSVC_NO	藥事服務費項目代號	C	12	254	265	填寫全民健保醫療費用支付標準碼，洗腎本欄免填，補空白
CD	門診處方及治療明細檔	93	100	DSVC_AMT	藥事服務費	N	8	266	273	藥事服務費點數，右靠不足補0，洗腎本欄補0
CD	門診處方及治療明細檔	93	100	BY_PASS_CODE	DRG參考碼	C	2	274	275	詳情請自健保署之醫事機構專區網頁查詢(http：//www.nhi.gov.tw/)
CD	門診處方及治療明細檔	93	100	T_AMT	合計點數	N	8	276	283	右靠不足補0，此項費用含部分負擔費用，如為交付調劑之藥品費用，不得併入合計點數內計算，本欄為序號27、28、30、32之合計
CD	門診處方及治療明細檔	93	100	PART_AMT	部分負擔點數	N	8	284	291	右靠不足補0，部分負擔費用。預防保健、慢性病連續處方調劑本欄免填。補0
CD	門診處方及治療明細檔	93	100	T_APPL_AMT	申請點數	N	8	292	299	右靠不足補0，此項費用不含部分負擔費用，即合計點數扣除部分負擔點數
CD	門診處方及治療明細檔	93	100	ID_SEX	性別	C	1	300	300	M：男性F：女性U：不詳(詳註)
CD	門診處方及治療明細檔	101		FEE_YM	費用年月	C	6	1	6	YYYYMM
CD	門診處方及治療明細檔	101		APPL_TYPE	申報類別	C	1	7	7	1：送核2：補報
CD	門診處方及治療明細檔	101		HOSP_ID	醫事機構代號	C	34	8	41	已轉碼。後2碼為權屬別，請參考代碼說明之B-4「權屬及型態別其代號與名稱」代檢及轉檢由原診治之特約醫院、診所申報。
CD	門診處方及治療明細檔	101		APPL_DATE	申報日期	C	8	42	49	YYYYMMDD(西元年)
CD	門診處方及治療明細檔	101		CASE_TYPE	案件分類	C	2	50	51	請參考代碼說明B-26之「案件分類代號」
CD	門診處方及治療明細檔	101		SEQ_NO	流水號	N	6	52	57	右靠不足補0，依案件分類之類別分別連續編號
CD	門診處方及治療明細檔	101		CURE_ITEM_NO1	特定治療項目代號(一)	C	2	58	59	請參考代碼說明B-55之「特定治療項目代號」;如無特定治療項目代號所列舉之內容則留空白。慢性病連續處方調劑本欄免填。
CD	門診處方及治療明細檔	101		CURE_ITEM_NO2	特定治療項目代號(二)	C	2	60	61	同上
CD	門診處方及治療明細檔	101		CURE_ITEM_NO3	特定治療項目代號(三)	C	2	62	63	同上
CD	門診處方及治療明細檔	101		CURE_ITEM_NO4	特定治療項目代號(四)	C	2	64	65	同上
CD	門診處方及治療明細檔	101		FUNC_TYPE	就醫科別	C	2	66	67	請參考代碼說明B-49之「就醫科別及細分科」屬整合性照護計畫個案，請擇當日就醫之第1科別填寫
CD	門診處方及治療明細檔	101		FUNC_DATE	就醫日期	C	8	68	75	YYYYMMDD請參考代碼說明之B-63「就醫日期及治療結束日期補充說明」
CD	門診處方及治療明細檔	101		TREAT_END_DATE	治療結束日期	C	8	76	83	YYYYMMDD請參考代碼說明B-63之「就醫日期及治療結束日期補充說明」，同一療程、排程檢查或慢性病連續處方籤調劑案件，本欄必填。
CD	門診處方及治療明細檔	101		ID_BIRTHDAY	出生年月	C	8	84	91	YYYYMM，左靠不足補空白
CD	門診處方及治療明細檔	101		ID	身份證統一編號	C	32	92	123	已轉碼，國民身分證統一編號，或外籍居留證號碼，左靠不足補空白，(如無居留證號碼則為護照號碼)。
CD	門診處方及治療明細檔	101		CARD_SEQ_NO	健保卡就醫序號	C	4	124	127	請填寫健保IC卡規定之就醫序號，四碼流水號，如：0001。預防保健請填寫「IC+預防保健之服務時程代碼」，請參考請參考說明B-35之「健保卡就醫序號」慢性病連續處方第二次以後調劑者，請依慢性病連續處方籤上調劑記錄欄之序號填IC02或IC03或IC04。
CD	門診處方及治療明細檔	101		GAVE_KIND	給付類別	C	1	128	128	請參考代碼說明B-65之「給付類別」
CD	門診處方及治療明細檔	101		PART_NO	部分負擔代號	C	3	129	131	部分負擔代號依部分負擔代號之編碼原則填寫。請參考代碼說明B-39之「部分負擔代號及相關規定」。本欄為必要欄位，如為慢性病連續處方調劑及預防保健，本欄請填009。接受他院所委託代(轉)醫療服務案件，請填009。
CD	門診處方及治療明細檔	101		ACODE_ICD9_1	國際疾病分類號一	C	15	132	146	左靠不足補空白，西醫、中醫國際疾病分類號碼按傷病名稱，預防保健則本欄為非必要欄位。西醫自89/01起全面以ICD-9-CM申報;中醫自91/05起全面以ICD-9-CM申報。ICD-9-CM以1992年版為準，自95/01起ICD-9-CM以2001年版為準。
CD	門診處方及治療明細檔	101		ACODE_ICD9_2	國際疾病分類號二	C	15	147	161	左靠，不足補空白
CD	門診處方及治療明細檔	101		ACODE_ICD9_3	國際疾病分類號三	C	15	162	176	左靠，不足補空白
CD	門診處方及治療明細檔	101		ICD_OP_CODE	主手術代碼	C	15	177	191	ICD-9-CM之主手術代號;預防保健、慢性病連續處方調劑及中醫本欄免填
CD	門診處方及治療明細檔	101		DRUG_DAY	給藥日份	N	2	192	193	右靠不足補0，本次給藥日份最高之天數(註一)：除單次給藥為「非口服藥」外，餘請填「口服藥」之最高給藥日份(89.06);慢性病連續處方調劑，請依連續處方箋上所列填寫;預防保健則本欄為非必要欄位
CD	門診處方及治療明細檔	101		MED_TYPE	處方調劑方式	C	1	194	194	請參考代碼說明B-65之「處方調劑方式」
CD	門診處方及治療明細檔	101		PRSN_ID	醫師代號	C	32	195	226	已轉碼。醫師或原處方醫師之國民身分證統一編號或外籍居留證號。左靠不足補空白。
CD	門診處方及治療明細檔	101		PHAR_ID	藥師代號	C	32	227	258	已轉碼。調劑藥師之國民身分證統一編號，外籍居留證號，左靠不足補空白。診所聘有藥師本欄為必要欄位，否則留空白。
CD	門診處方及治療明細檔	101		DRUG_AMT	用藥明細點數小計	N	8	259	266	右靠不足補0，此項費用為OO檔之醫令類別為1之用藥明細點數(序號13)之小計，如為交付調劑之藥品費用，不得併入用藥明細點數小計內計算;西醫簡表及中醫請依給藥日份計算用藥申報點數
CD	門診處方及治療明細檔	101		TREAT_AMT	診療明細點數小計	N	8	267	274	右靠不足補0，此項費用為OO檔之除用藥之外(醫令類別為2或3)，各項診療及特殊材料明細點數(序號13)之小計;慢性病連續處方調劑本欄免填
CD	門診處方及治療明細檔	101		TREAT_CODE	診察費項目代號	C	12	275	286	填寫全民健保醫療費用支付標準碼。預防保健、洗腎、慢性病連續處方調劑本欄免填，補空白
CD	門診處方及治療明細檔	101		DIAG_AMT	診察費	N	8	287	294	診察費點數，右靠不足補0。預防保健、洗腎、慢性病連續處方調劑本欄免填，請補0
CD	門診處方及治療明細檔	101		DSVC_NO	藥事服務費項目代號	C	12	295	306	填寫全民健保醫療費用支付標準碼，洗腎本欄免填，補空白
CD	門診處方及治療明細檔	101		DSVC_AMT	藥事服務費	N	8	307	314	藥事服務費點數，右靠不足補0，洗腎本欄補0
CD	門診處方及治療明細檔	101		CASE_PAY_CODE	論病例計酬代碼	C	2	315	316	即DRG參考碼。詳情請自健保署之醫事機構專區網頁查詢(http：//www.nhi.gov.tw/)
CD	門診處方及治療明細檔	101		T_AMT	合計點數	N	8	317	324	右靠不足補0，此項費用含部分負擔費用，如為交付調劑之藥品費用，不得併入合計點數內計算，本欄為序號27、28、30、32之合計
CD	門診處方及治療明細檔	101		PART_AMT	部分負擔點數	N	8	325	332	右靠不足補0，部分負擔費用。預防保健、慢性病連續處方調劑本欄免填。補0
CD	門診處方及治療明細檔	101		T_APPL_AMT	申請點數	N	8	333	340	右靠不足補0，此項費用不含部分負擔費用，即合計點數扣除部分負擔點數
CD	門診處方及治療明細檔	101		ID_SEX	性別	C	1	341	341	M：男性F：女性U：不詳(詳註)
CD	門診處方及治療明細檔	101		TRAN_IN_HOSP_ID	轉入院所代碼	C	34	342	375	已轉碼，後2碼為其權屬別
CD	門診處方及治療明細檔	101		PAT_TRAN_OUT	病患是否轉出	C	1	376	376	Y：是N：否
CD	門診處方及治療明細檔	101		APPL_CAUSE_MARK	補報原因註記	C	1	377	377	1：補報整筆案件2：補報部分醫令或醫令差額申報類別為送核案件，本欄免填。
CT	門診費用申請總表主檔		100	HOSP_ID	醫事機構代號	C	34	1	34	已轉碼，後2碼為權屬別
CT	門診費用申請總表主檔		100	FEE_YM	費用年月	C	6	35	40	YYYYMM
CT	門診費用申請總表主檔		100	APPL_TYPE	申報類別	C	1	41	41	1：送核2：補報註：每一費用年月僅一筆送核(電子資料申報者最多可分為上、下半月送核各一筆)，但可有多筆補報。
CT	門診費用申請總表主檔		100	APPL_DATE	申報日期	C	8	42	49	YYYYMMDD
CT	門診費用申請總表主檔		100	APPL_MODE	申報方式	C	1	50	50	1：書面2：媒體3：連線註：連練可一個月費用分上下半月申報，自87年4月份費用起，媒體亦可分上下半月申報。
CT	門診費用申請總表主檔		100	MEDIC_GEN_QTY	西醫一般案件件數	N	10	51	60	指以西醫簡表申報之案件
CT	門診費用申請總表主檔		100	MEDIC_GEN_AMT	西醫一般案件申報點數	N	10	61	70	簡表申報案件之和
CT	門診費用申請總表主檔		100	MEDIC_PRO_QTY	西醫專案案件件數	N	10	71	80	指案件分類02、03、04、09、71、76、77、78、81、91、93、94、E1等之專案案件
CT	門診費用申請總表主檔		100	MEDIC_PRO_AMT	西醫專案案件申報點數	N	10	81	90	
CT	門診費用申請總表主檔		100	MEDIC_ADR_QTY	西醫血液透析案件件數	N	10	91	100	指案件分類05洗腎，包括血液透析及腹膜透析
CT	門診費用申請總表主檔		100	MEDIC_ADR_AMT	西醫血液透析申報點數	N	10	101	110	
CT	門診費用申請總表主檔		100	MEDIC_BRN_QTY	精神病社區復健件數	N	10	111	120	指案件分類62精神疾病復健
CT	門診費用申請總表主檔		100	MEDIC_BRN_AMT	精神病社區復健申請點數	N	10	121	130	
CT	門診費用申請總表主檔		100	MEDIC_TUB_QTY	西醫結核病案件件數	N	10	131	140	指案件分類06結核病
CT	門診費用申請總表主檔		100	MEDIC_TUB_AMT	西醫結核病申報點數	N	10	141	150	
CT	門診費用申請總表主檔		100	MEDIC_QTY	西醫件數小計	N	10	151	160	本欄為序號6+8+10+14之和
CT	門診費用申請總表主檔		100	MEDIC_AMT	西醫申報點數小計	N	10	161	170	
CT	門診費用申請總表主檔		100	DENT_GEN_QTY	牙醫一般案件件數	N	10	171	180	
CT	門診費用申請總表主檔		100	DENT_GEN_AMT	牙醫一般案件申報點數	N	10	181	190	
CT	門診費用申請總表主檔		100	DENT_PRO_QTY	牙醫專案案件件數	N	10	191	200	
CT	門診費用申請總表主檔		100	DENT_PRO_AMT	牙醫專案案件申報點數	N	10	201	210	
CT	門診費用申請總表主檔		100	DENT_QTY	牙醫件數小計	N	10	211	220	本欄為牙醫一般案件件數(序號18)及牙醫專案案件件數(序號20)之和
CT	門診費用申請總表主檔		100	DENT_AMT	牙醫申報點數小計	N	10	221	230	
CT	門診費用申請總表主檔		100	HERB_GEN_QTY	中醫一般案件件數	N	10	231	240	
CT	門診費用申請總表主檔		100	HERB_GEN_AMT	中醫一般案件申報點數	N	10	241	250	
CT	門診費用申請總表主檔		100	HERB_PRO_QTY	中醫專案案件件數	N	10	251	260	
CT	門診費用申請總表主檔		100	HERB_PRO_AMT	中醫專案案件申報點數	N	10	261	270	
CT	門診費用申請總表主檔		100	HERB_QTY	中醫件數小計	N	10	271	280	本欄為中醫一般案件件數(序號24)及中醫專案案件件數(序號26)之和
CT	門診費用申請總表主檔		100	HERB_AMT	中醫申報點數小計	N	10	281	290	本欄為中醫一般案件申報點數(序號25)及中醫專案案件申報點數(序號27)之和
CT	門診費用申請總表主檔		100	PREV_QTY	預防保健件數	N	10	291	300	指案件分類63及92之和
CT	門診費用申請總表主檔		100	PREV_AMT	預防保健申報點數	N	10	301	310	
CT	門診費用申請總表主檔		100	PREP_QTY1	慢性病處方調劑件數	N	10	311	320	案件分類08及28之和
CT	門診費用申請總表主檔		100	PREP_AMT1	慢性病處方調劑申報點數	N	10	321	330	
CT	門診費用申請總表主檔		100	PREP_QTY2	居家照護件數	N	10	331	340	案件分類61、65、66、67之和
CT	門診費用申請總表主檔		100	PREP_AMT2	居家照護申報點數	N	10	341	350	
CT	門診費用申請總表主檔		100	T_APPL_QTY	件數總計	N	10	351	360	
CT	門診費用申請總表主檔		100	T_APPL_AMT	申報點數總計	N	10	361	370	不含部分負擔費用
CT	門診費用申請總表主檔	101		HOSP_ID	醫事機構代號	C	34	1	34	已轉碼，後2碼為權屬別
CT	門診費用申請總表主檔	101		FEE_YM	費用年月	C	6	35	40	YYYYMM
CT	門診費用申請總表主檔	101		APPL_TYPE	申報類別	C	1	41	41	1：送核2：補報註：每一費用年月僅一筆送核(電子資料申報者最多可分為上、下半月送核各一筆)，但可有多筆補報。
CT	門診費用申請總表主檔	101		APPL_DATE	申報日期	C	8	42	49	YYYYMMDD
CT	門診費用申請總表主檔	101		APPL_MODE	申報方式	C	1	50	50	1：書面2：媒體3：連線註：連練可一個月費用分上下半月申報，自87年4月份費用起，媒體亦可分上下半月申報。
CT	門診費用申請總表主檔	101		MEDIC_GEN_QTY	西醫一般案件件數	N	10	51	60	指以西醫簡表申報之案件
CT	門診費用申請總表主檔	101		MEDIC_GEN_AMT	西醫一般案件申報點數	N	10	61	70	簡表申報案件之和
CT	門診費用申請總表主檔	101		MEDIC_PRO_QTY	西醫專案案件件數	N	10	71	80	
CT	門診費用申請總表主檔	101		MEDIC_PRO_AMT	西醫專案案件申報點數	N	10	81	90	
CT	門診費用申請總表主檔	101		MEDIC_ADR_QTY	西醫血液透析案件件數	N	10	91	100	
CT	門診費用申請總表主檔	101		MEDIC_ADR_AMT	西醫血液透析申報點數	N	10	101	110	
CT	門診費用申請總表主檔	101		MEDIC_BRN_QTY	精神病社區復健件數	N	10	111	120	
CT	門診費用申請總表主檔	101		MEDIC_BRN_AMT	精神病社區復健申請點數	N	10	121	130	
CT	門診費用申請總表主檔	101		MEDIC_TUB_QTY	西醫結核病案件件數	N	10	131	140	
CT	門診費用申請總表主檔	101		MEDIC_TUB_AMT	西醫結核病申報點數	N	10	141	150	
CT	門診費用申請總表主檔	101		MEDIC_QTY	西醫件數小計	N	10	151	160	
CT	門診費用申請總表主檔	101		MEDIC_AMT	西醫申報點數小計	N	10	161	170	
CT	門診費用申請總表主檔	101		DENT_GEN_QTY	牙醫一般案件件數	N	10	171	180	
